mes,Provincia,horas,cod,mes_n
Octubre,Lleida,11.09,25,10
Octubre,La Rioja,11.06,26,10
Octubre,Lugo,11.04,27,10
Octubre,Madrid,11.13,28,10
Octubre,Málaga,11.25,29,10
Octubre,Murcia,11.21,30,10
Octubre,Navarra,11.05,31,10
Octubre,Ourense,11.07,32,10
Octubre,Asturias,11.03,33,10
Octubre,Palencia,11.08,34,10
Octubre,Las Palmas,11.49,35,10
Octubre,Pontevedra,11.06,36,10
Octubre,Salamanca,11.12,37,10
Octubre,Santa Cruz de Tenerife,11.48,38,10
Octubre,Cantabria,11.03,39,10
Octubre,Segovia,11.12,40,10
Octubre,Sevilla,11.23,41,10
Octubre,Soria,11.09,42,10
Octubre,Tarragona,11.11,43,10
Octubre,Teruel,11.14,44,10
Octubre,Toledo,11.15,45,10
Octubre,Valencia,11.17,46,10
Octubre,Valladolid,11.09,47,10
Octubre,Vizcaya,11.03,48,10
Octubre,Zamora,11.1,49,10
Octubre,Zaragoza,11.09,50,10
Octubre,Ceuta,11.28,51,10
Octubre,Melilla,11.3,52,10
Noviembre,Álava,9.77,01,11
Noviembre,Albacete,10.07,02,11
Noviembre,Alicante,10.12,03,11
Noviembre,Almería,10.22,04,11
Noviembre,Ávila,9.94,05,11
Noviembre,Badajoz,10.08,06,11
Noviembre,Baleares,10.03,07,11
Noviembre,Barcelona,9.89,08,11
Noviembre,Burgos,9.81,09,11
Noviembre,Cáceres,10.03,10,11
Noviembre,Cádiz,10.25,11,11
Noviembre,Castellón,10.0,12,11
Noviembre,Ciudad Real,10.07,13,11
Noviembre,Córdoba,10.15,14,11
Noviembre,A Coruña,9.72,15,11
Noviembre,Cuenca,9.99,16,11
Noviembre,Girona,9.84,17,11
Noviembre,Granada,10.2,18,11
Noviembre,Guadalajara,9.95,19,11
Noviembre,Guipúzcoa,9.73,20,11
Noviembre,Huelva,10.19,21,11
Noviembre,Huesca,9.83,22,11
Noviembre,Jaén,10.16,23,11
Noviembre,León,9.79,24,11
Noviembre,Lleida,9.87,25,11
Noviembre,La Rioja,9.8,26,11
Noviembre,Lugo,9.75,27,11
Noviembre,Madrid,9.96,28,11
Noviembre,Málaga,10.23,29,11
Noviembre,Murcia,10.15,30,11
Noviembre,Navarra,9.77,31,11
Noviembre,Ourense,9.81,32,11
Noviembre,Asturias,9.72,33,11
Noviembre,Palencia,9.84,34,11
Noviembre,Las Palmas,10.77,35,11
Noviembre,Pontevedra,9.8,36,11
Noviembre,Salamanca,9.92,37,11
Noviembre,Santa Cruz de Tenerife,10.75,38,11
Noviembre,Cantabria,9.72,39,11
Noviembre,Segovia,9.92,40,11
Noviembre,Sevilla,10.19,41,11
Noviembre,Soria,9.86,42,11
Noviembre,Tarragona,9.91,43,11
Noviembre,Teruel,9.97,44,11
Noviembre,Toledo,10.01,45,11
Noviembre,Valencia,10.03,46,11
Noviembre,Valladolid,9.87,47,11
Noviembre,Vizcaya,9.73,48,11
Noviembre,Zamora,9.88,49,11
Noviembre,Zaragoza,9.87,50,11
Noviembre,Ceuta,10.29,51,11
Noviembre,Melilla,10.33,52,11
Diciembre,Álava,9.09,01,12
Diciembre,Albacete,9.49,02,12
Diciembre,Alicante,9.55,03,12
Diciembre,Almería,9.69,04,12
Diciembre,Ávila,9.32,05,12
Diciembre,Badajoz,9.5,06,12
Diciembre,Baleares,9.43,07,12
Diciembre,Barcelona,9.25,08,12
Diciembre,Burgos,9.14,09,12
Diciembre,Cáceres,9.44,10,12
Diciembre,Cádiz,9.72,11,12
Diciembre,Castellón,9.39,12,12
Diciembre,Ciudad Real,9.49,13,12
Diciembre,Córdoba,9.59,14,12
Diciembre,A Coruña,9.03,15,12
Diciembre,Cuenca,9.38,16,12
Diciembre,Girona,9.18,17,12
Diciembre,Granada,9.66,18,12
Diciembre,Guadalajara,9.32,19,12
Diciembre,Guipúzcoa,9.03,20,12
Diciembre,Huelva,9.65,21,12
Diciembre,Huesca,9.17,22,12
Diciembre,Jaén,9.6,23,12
Diciembre,León,9.12,24,12
Diciembre,Lleida,9.22,25,12
Diciembre,La Rioja,9.13,26,12
Diciembre,Lugo,9.07,27,12
Diciembre,Madrid,9.35,28,12
Diciembre,Málaga,9.7,29,12
Diciembre,Murcia,9.58,30,12
Diciembre,Navarra,9.09,31,12
Diciembre,Ourense,9.15,32,12
Diciembre,Asturias,9.03,33,12
Diciembre,Palencia,9.18,34,12
Diciembre,Las Palmas,10.4,35,12
Diciembre,Pontevedra,9.14,36,12
Diciembre,Salamanca,9.29,37,12
Diciembre,Santa Cruz de Tenerife,10.37,38,12
Diciembre,Cantabria,9.02,39,12
Diciembre,Segovia,9.29,40,12
Diciembre,Sevilla,9.64,41,12
Diciembre,Soria,9.21,42,12
Diciembre,Tarragona,9.27,43,12
Diciembre,Teruel,9.35,44,12
Diciembre,Toledo,9.4,45,12
Diciembre,Valencia,9.44,46,12
Diciembre,Valladolid,9.22,47,12
Diciembre,Vizcaya,9.04,48,12
Diciembre,Zamora,9.23,49,12
Diciembre,Zaragoza,9.22,50,12
Diciembre,Ceuta,9.77,51,12
Diciembre,Melilla,9.83,52,12
